s,x,y,z,tx,ty,tz
0.0,1375.6502,586.4445,234.5125,-0.0613,0.9913,-0.1164
1.0,1375.5935,587.3845,234.4107,-0.0584,0.9934,-0.0986
2.0,1375.5400,588.3205,234.3260,-0.0552,0.9952,-0.0814
3.0,1375.4899,589.2526,234.2577,-0.0519,0.9966,-0.0647
4.0,1375.4432,590.1808,234.2050,-0.0484,0.9976,-0.0486
5.0,1375.4001,591.1053,234.1672,-0.0447,0.9985,-0.0331
6.0,1375.3606,592.0261,234.1435,-0.0409,0.9990,-0.0183
7.0,1375.3249,592.9434,234.1333,-0.0369,0.9993,-0.0042
8.0,1375.2930,593.8572,234.1356,-0.0328,0.9994,0.0092
9.0,1375.2651,594.7677,234.1499,-0.0285,0.9994,0.0219
10.0,1375.2412,595.6750,234.1753,-0.0240,0.9991,0.0339
11.0,1375.2215,596.5791,234.2110,-0.0195,0.9988,0.0451
12.0,1375.2061,597.4802,234.2564,-0.0147,0.9984,0.0555
13.0,1375.1950,598.3783,234.3107,-0.0099,0.9978,0.0651
14.0,1375.1884,599.2736,234.3732,-0.0049,0.9973,0.0739
15.0,1375.1864,600.1661,234.4430,0.0003,0.9966,0.0819
16.0,1375.1890,601.0560,234.5194,0.0056,0.9960,0.0891
17.0,1375.1963,601.9433,234.6018,0.0110,0.9954,0.0955
18.0,1375.2086,602.8282,234.6893,0.0166,0.9947,0.1011
19.0,1375.2258,603.7107,234.7811,0.0223,0.9941,0.1058
20.0,1375.2481,604.5910,234.8767,0.0281,0.9936,0.1097
21.0,1375.2756,605.4692,234.9751,0.0341,0.9930,0.1128
22.0,1375.3083,606.3453,235.0756,0.0402,0.9926,0.1150
23.0,1375.3464,607.2195,235.1775,0.0464,0.9921,0.1163
24.0,1375.3900,608.0918,235.2801,0.0528,0.9918,0.1168
25.0,1375.4391,608.9623,235.3826,0.0593,0.9914,0.1165
26.0,1375.4940,609.8313,235.4842,0.0659,0.9912,0.1152
27.0,1375.5546,610.6986,235.5842,0.0727,0.9909,0.1131
28.0,1375.6211,611.5646,235.6818,0.0795,0.9907,0.1102
29.0,1375.6936,612.4292,235.7763,0.0866,0.9906,0.1063
30.0,1375.7721,613.2925,235.8670,0.0937,0.9904,0.1016
31.0,1375.8569,614.1547,235.9530,0.1010,0.9902,0.0960
32.0,1375.9479,615.0158,236.0337,0.1084,0.9901,0.0895
33.0,1376.0454,615.8760,236.1083,0.1159,0.9899,0.0821
34.0,1376.1493,616.7354,236.1761,0.1235,0.9896,0.0738
35.0,1376.2598,617.5940,236.2362,0.1312,0.9892,0.0646
36.0,1376.3770,618.4519,236.2880,0.1390,0.9888,0.0546
37.0,1376.5010,619.3093,236.3307,0.1469,0.9882,0.0437
38.0,1376.6319,620.1663,236.3635,0.1549,0.9874,0.0319
39.0,1376.7698,621.0229,236.3857,0.1629,0.9865,0.0192
40.0,1376.9148,621.8793,236.3966,0.1710,0.9853,0.0057
41.0,1377.0669,622.7355,236.3953,0.1790,0.9838,-0.0087
42.0,1377.2264,623.5917,236.3812,0.1872,0.9820,-0.0236
43.0,1377.3933,624.4478,236.3545,0.1954,0.9800,-0.0374
44.0,1377.5678,625.3037,236.3164,0.2037,0.9778,-0.0497
45.0,1377.7500,626.1592,236.2680,0.2122,0.9754,-0.0605
46.0,1377.9400,627.0143,236.2107,0.2207,0.9728,-0.0698
47.0,1378.1379,627.8687,236.1458,0.2295,0.9702,-0.0777
48.0,1378.3440,628.7223,236.0744,0.2383,0.9675,-0.0841
49.0,1378.5583,629.5750,235.9978,0.2474,0.9648,-0.0891
50.0,1378.7810,630.4267,235.9174,0.2565,0.9621,-0.0927
51.0,1379.0122,631.2771,235.8343,0.2659,0.9593,-0.0948
52.0,1379.2521,632.1262,235.7499,0.2754,0.9566,-0.0955
53.0,1379.5008,632.9737,235.6653,0.2851,0.9538,-0.0949
54.0,1379.7584,633.8197,235.5819,0.2950,0.9510,-0.0928
55.0,1380.0250,634.6638,235.5008,0.3050,0.9481,-0.0893
56.0,1380.3009,635.5060,235.4234,0.3152,0.9452,-0.0845
57.0,1380.5862,636.3461,235.3509,0.3256,0.9423,-0.0782
58.0,1380.8809,637.1839,235.2846,0.3362,0.9392,-0.0705
59.0,1381.1852,638.0194,235.2257,0.3469,0.9359,-0.0615
60.0,1381.4993,638.8524,235.1754,0.3577,0.9325,-0.0510
61.0,1381.8233,639.6827,235.1351,0.3686,0.9288,-0.0391
62.0,1382.1573,640.5102,235.1060,0.3794,0.9249,-0.0261
63.0,1382.5004,641.3349,235.0885,0.3884,0.9214,-0.0132
64.0,1382.8507,642.1569,235.0823,0.3954,0.9185,-0.0008
65.0,1383.2063,642.9764,235.0870,0.4005,0.9162,0.0112
66.0,1383.5653,643.7933,235.1022,0.4037,0.9146,0.0229
67.0,1383.9258,644.6079,235.1277,0.4050,0.9137,0.0342
68.0,1384.2858,645.4202,235.1630,0.4044,0.9135,0.0452
69.0,1384.6435,646.2304,235.2078,0.4019,0.9140,0.0558
70.0,1384.9969,647.0386,235.2617,0.3975,0.9152,0.0662
71.0,1385.3441,647.8449,235.3244,0.3911,0.9172,0.0762
72.0,1385.6832,648.6494,235.3955,0.3827,0.9198,0.0860
73.0,1386.0123,649.4523,235.4747,0.3723,0.9232,0.0956
74.0,1386.3294,650.2536,235.5615,0.3596,0.9272,0.1049
75.0,1386.6326,651.0535,235.6557,0.3447,0.9318,0.1139
76.0,1386.9201,651.8520,235.7568,0.3275,0.9369,0.1227
77.0,1387.1899,652.6494,235.8645,0.3078,0.9424,0.1312
78.0,1387.4400,653.4457,235.9785,0.2856,0.9482,0.1394
79.0,1387.6687,654.2410,236.0983,0.2607,0.9541,0.1473
80.0,1387.8738,655.0354,236.2237,0.2331,0.9601,0.1548
81.0,1388.0536,655.8291,236.3543,0.2027,0.9658,0.1619
82.0,1388.2062,656.6222,236.4896,0.1693,0.9710,0.1686
