s,x,y,z,tx,ty,tz
0.0,1374.8561,587.8216,235.3285,0.0145,0.9917,-0.1280
1.0,1374.8638,588.8699,235.1966,0.0000,0.9926,-0.1216
2.0,1374.8565,589.8778,235.0765,-0.0146,0.9933,-0.1149
3.0,1374.8352,590.8473,234.9679,-0.0292,0.9938,-0.1077
4.0,1374.8010,591.7803,234.8703,-0.0437,0.9940,-0.1001
5.0,1374.7551,592.6788,234.7833,-0.0579,0.9941,-0.0922
6.0,1374.6986,593.5446,234.7065,-0.0718,0.9939,-0.0840
7.0,1374.6326,594.3798,234.6395,-0.0852,0.9935,-0.0754
8.0,1374.5583,595.1863,234.5819,-0.0978,0.9930,-0.0665
9.0,1374.4768,595.9659,234.5332,-0.1097,0.9923,-0.0573
10.0,1374.3891,596.7207,234.4931,-0.1205,0.9916,-0.0480
11.0,1374.2966,597.4526,234.4611,-0.1301,0.9908,-0.0386
12.0,1374.2002,598.1635,234.4368,-0.1383,0.9900,-0.0290
13.0,1374.1010,598.8553,234.4199,-0.1450,0.9892,-0.0195
14.0,1374.0004,599.5300,234.4098,-0.1499,0.9887,-0.0100
15.0,1373.8992,600.1896,234.4062,-0.1529,0.9882,-0.0008
16.0,1373.7988,600.8359,234.4086,-0.1539,0.9881,0.0082
17.0,1373.7001,601.4709,234.4167,-0.1527,0.9881,0.0169
18.0,1373.6044,602.0966,234.4300,-0.1493,0.9885,0.0251
19.0,1373.5127,602.7149,234.4482,-0.1435,0.9891,0.0328
20.0,1373.4262,603.3276,234.4707,-0.1354,0.9900,0.0399
21.0,1373.3461,603.9369,234.4972,-0.1249,0.9911,0.0462
22.0,1373.2734,604.5445,234.5273,-0.1121,0.9923,0.0518
23.0,1373.2092,605.1525,234.5605,-0.0971,0.9937,0.0566
24.0,1373.1548,605.7627,234.5965,-0.0800,0.9950,0.0605
25.0,1373.1112,606.3771,234.6348,-0.0611,0.9961,0.0635
26.0,1373.0795,606.9977,234.6750,-0.0404,0.9970,0.0655
27.0,1373.0609,607.6264,234.7167,-0.0184,0.9976,0.0667
28.0,1373.0565,608.2650,234.7595,0.0048,0.9977,0.0669
29.0,1373.0675,608.9157,234.8029,0.0288,0.9974,0.0662
30.0,1373.0949,609.5802,234.8466,0.0534,0.9965,0.0648
31.0,1373.1395,610.2599,234.8903,0.0769,0.9950,0.0631
32.0,1373.2008,610.9543,234.9338,0.0984,0.9933,0.0615
33.0,1373.2782,611.6622,234.9771,0.1181,0.9912,0.0599
34.0,1373.3709,612.3829,235.0201,0.1363,0.9889,0.0585
35.0,1373.4783,613.1154,235.0630,0.1531,0.9866,0.0571
36.0,1373.5997,613.8586,235.1056,0.1686,0.9841,0.0558
37.0,1373.7345,614.6118,235.1479,0.1829,0.9816,0.0546
38.0,1373.8819,615.3739,235.1899,0.1961,0.9791,0.0534
39.0,1374.0412,616.1440,235.2315,0.2084,0.9766,0.0523
40.0,1374.2119,616.9211,235.2727,0.2198,0.9742,0.0512
41.0,1374.3932,617.7044,235.3136,0.2304,0.9718,0.0502
42.0,1374.5844,618.4928,235.3540,0.2402,0.9695,0.0493
43.0,1374.7848,619.2855,235.3939,0.2494,0.9672,0.0483
44.0,1374.9939,620.0814,235.4334,0.2579,0.9650,0.0474
45.0,1375.2108,620.8797,235.4723,0.2659,0.9629,0.0466
46.0,1375.4349,621.6794,235.5107,0.2732,0.9609,0.0457
47.0,1375.6656,622.4795,235.5485,0.2801,0.9589,0.0449
48.0,1375.9021,623.2792,235.5857,0.2865,0.9571,0.0442
49.0,1376.1438,624.0774,235.6222,0.2925,0.9553,0.0434
