s,z_ceil_dlio,z_ceil_fastlio,dlio_minus_fastlio
0.0,239.208,237.571,1.638
1.0,238.772,235.951,2.821
2.0,238.933,235.357,3.576
3.0,238.622,235.448,3.174
4.0,238.436,235.636,2.801
5.0,238.120,235.719,2.401
6.0,238.026,235.753,2.274
7.0,238.058,235.779,2.279
8.0,238.304,235.782,2.523
9.0,238.254,235.806,2.448
10.0,238.079,235.909,2.170
11.0,237.721,236.578,1.143
12.0,237.407,236.940,0.466
13.0,237.389,237.417,-0.028
14.0,237.501,237.854,-0.353
15.0,238.039,238.416,-0.377
16.0,238.077,238.753,-0.676
17.0,238.218,238.975,-0.757
18.0,238.425,239.189,-0.764
19.0,238.463,239.338,-0.875
20.0,238.674,239.425,-0.750
21.0,238.913,239.503,-0.590
22.0,238.939,239.574,-0.634
23.0,238.971,239.677,-0.706
24.0,239.162,239.762,-0.600
25.0,239.320,239.818,-0.498
26.0,239.360,239.859,-0.499
27.0,239.451,239.921,-0.470
28.0,239.699,239.976,-0.277
29.0,240.191,240.226,-0.034
30.0,240.345,240.720,-0.375
31.0,240.585,240.865,-0.280
32.0,241.982,240.972,1.010
33.0,241.175,241.060,0.116
34.0,241.188,241.068,0.120
35.0,241.189,241.089,0.100
36.0,236.874,241.087,-4.213
37.0,236.640,240.967,-4.326
38.0,240.353,240.240,0.113
39.0,240.603,240.257,0.346
40.0,240.671,240.320,0.351
41.0,240.712,240.303,0.409
42.0,240.207,240.245,-0.038
43.0,239.913,240.203,-0.290
44.0,239.953,240.145,-0.192
45.0,240.124,240.118,0.006
46.0,240.244,240.119,0.125
47.0,240.273,240.140,0.133
48.0,240.306,240.155,0.151
49.0,240.107,240.192,-0.084
50.0,240.143,240.206,-0.063
51.0,240.026,240.211,-0.185
52.0,240.056,240.195,-0.139
53.0,240.161,240.177,-0.016
54.0,240.259,240.167,0.093
55.0,240.510,240.196,0.313
56.0,240.978,240.218,0.761
57.0,241.157,240.236,0.921
58.0,241.192,240.306,0.887
