s,x,y,z,tx,ty,tz,area,coverage,width,height,eta,d_eq,z_floor,z_ceil,n_pts
0.0000,1375.6502,586.4445,234.5125,-0.0613,0.9913,-0.1164,10.6193,1.0000,9.8292,4.1679,3.4445,3.6771,234.0538,239.1963,6125
1.0000,1375.5935,587.3845,234.4107,-0.0584,0.9934,-0.0986,6.6640,1.0000,9.7757,3.8963,3.1975,2.9129,233.7576,238.6913,5018
2.0000,1375.5400,588.3205,234.3260,-0.0552,0.9952,-0.0814,6.0214,1.0000,9.1516,3.9229,3.0797,2.7689,233.1561,237.6970,6556
3.0000,1375.4899,589.2526,234.2577,-0.0519,0.9966,-0.0647,8.9139,1.0000,9.2169,3.7338,4.0019,3.3689,232.6399,237.6161,8966
4.0000,1375.4432,590.1808,234.2050,-0.0484,0.9976,-0.0486,10.5130,0.9861,9.3348,3.2087,4.4658,3.6586,232.1913,234.9399,10040
5.0000,1375.4001,591.1053,234.1672,-0.0447,0.9985,-0.0331,6.4403,1.0000,9.1002,3.5578,3.6943,2.8636,231.8681,234.5371,8646
6.0000,1375.3606,592.0261,234.1435,-0.0409,0.9990,-0.0183,7.8118,1.0000,8.8309,4.3307,2.8457,3.1538,231.4201,233.6069,9154
7.0000,1375.3249,592.9434,234.1333,-0.0369,0.9993,-0.0042,9.9280,1.0000,8.9192,4.7866,1.9650,3.5554,231.1038,237.1977,11319
8.0000,1375.2930,593.8572,234.1356,-0.0328,0.9994,0.0092,20.0167,1.0000,8.6344,5.3543,1.5960,5.0484,230.7508,236.7852,13664
9.0000,1375.2651,594.7677,234.1499,-0.0285,0.9994,0.0219,32.0806,1.0000,9.1734,5.6180,1.7984,6.3911,230.5395,236.8012,14056
10.0000,1375.2412,595.6750,234.1753,-0.0240,0.9991,0.0339,34.6636,1.0000,9.5262,6.0585,2.0003,6.6434,230.0731,236.7030,13705
11.0000,1375.2215,596.5791,234.2110,-0.0195,0.9988,0.0451,35.7150,1.0000,9.6303,6.1567,1.9981,6.7434,229.9647,236.5665,14013
12.0000,1375.2061,597.4802,234.2564,-0.0147,0.9984,0.0555,33.4884,1.0000,10.1099,5.6507,2.1576,6.5298,230.3020,236.5065,12511
13.0000,1375.1950,598.3783,234.3107,-0.0099,0.9978,0.0651,34.6641,1.0000,10.6811,5.4259,2.2615,6.6435,230.4456,236.3378,12383
14.0000,1375.1884,599.2736,234.3732,-0.0049,0.9973,0.0739,39.8434,0.9861,10.8058,5.9737,2.0498,7.1225,230.6060,237.2590,13113
15.0000,1375.1864,600.1661,234.4430,0.0003,0.9966,0.0819,42.1733,0.9861,10.8102,6.5035,1.8207,7.3278,230.8842,238.0277,13874
16.0000,1375.1890,601.0560,234.5194,0.0056,0.9960,0.0891,46.2108,0.9861,11.1473,6.4219,1.7907,7.6706,231.2218,238.3110,12888
17.0000,1375.1963,601.9433,234.6018,0.0110,0.9954,0.0955,54.2405,1.0000,11.9846,7.3600,1.7096,8.3103,231.1193,239.0514,15172
18.0000,1375.2086,602.8282,234.6893,0.0166,0.9947,0.1011,61.2635,1.0000,12.7262,7.8068,1.7642,8.8319,231.2492,239.7324,16683
19.0000,1375.2258,603.7107,234.7811,0.0223,0.9941,0.1058,67.7114,1.0000,13.3933,8.0001,1.8117,9.2851,231.3807,240.0822,16959
20.0000,1375.2481,604.5910,234.8767,0.0281,0.9936,0.1097,72.5124,1.0000,14.3224,7.9673,1.9896,9.6086,231.5409,240.4265,16693
21.0000,1375.2756,605.4692,234.9751,0.0341,0.9930,0.1128,78.0656,1.0000,15.1949,7.7796,2.0724,9.9698,231.7599,240.4937,16409
22.0000,1375.3083,606.3453,235.0756,0.0402,0.9926,0.1150,80.2031,1.0000,15.7088,7.5756,1.9744,10.1053,232.0350,240.5971,16677
23.0000,1375.3464,607.2195,235.1775,0.0464,0.9921,0.1163,79.4387,1.0000,15.5892,7.4322,1.9430,10.0571,232.3538,240.4250,16096
24.0000,1375.3900,608.0918,235.2801,0.0528,0.9918,0.1168,77.4803,1.0000,15.0602,7.2600,2.0484,9.9323,232.6433,240.6734,14608
25.0000,1375.4391,608.9623,235.3826,0.0593,0.9914,0.1165,75.2969,1.0000,15.0471,7.1608,2.0374,9.7914,232.8016,240.7773,15101
26.0000,1375.4940,609.8313,235.4842,0.0659,0.9912,0.1152,68.1392,1.0000,14.7367,7.1289,1.8738,9.3144,232.9056,240.6616,16741
27.0000,1375.5546,610.6986,235.5842,0.0727,0.9909,0.1131,59.4980,1.0000,13.1030,7.1001,1.6948,8.7037,233.1277,241.8314,16364
28.0000,1375.6211,611.5646,235.6818,0.0795,0.9907,0.1102,47.7503,1.0000,12.8044,7.8052,1.5953,7.7973,233.2873,242.7746,16142
29.0000,1375.6936,612.4292,235.7763,0.0866,0.9906,0.1063,10.4742,1.0000,12.2160,8.1233,1.5625,3.6519,233.4497,241.7148,16183
30.0000,1375.7721,613.2925,235.8670,0.0937,0.9904,0.1016,20.0044,1.0000,11.7821,7.8292,1.9398,5.0468,233.5492,240.8528,13434
31.0000,1375.8569,614.1547,235.9530,0.1010,0.9902,0.0960,19.4299,1.0000,11.4823,7.2302,2.1858,4.9738,233.6512,241.1480,12255
32.0000,1375.9479,615.0158,236.0337,0.1084,0.9901,0.0895,17.6033,1.0000,11.4604,6.4054,2.3295,4.7343,233.8239,240.5978,12693
33.0000,1376.0454,615.8760,236.1083,0.1159,0.9899,0.0821,9.8127,1.0000,10.9204,6.5748,2.1228,3.5347,233.7280,236.8931,12463
34.0000,1376.1493,616.7354,236.1761,0.1235,0.9896,0.0738,18.9971,0.9722,10.2210,6.9885,1.9541,4.9181,233.4467,241.1716,12037
