body,feature_id,lat,lon_east_0_360,aperture_long_axis_m,aperture_short_axis_m,inner_long_axis_m,inner_short_axis_m,depth_m,depth_is_minimum,type,source,source_detail,notes
moon,Marius Hills Pit,14.0917,303.2299,92.0,79.0,55.0,49.0,40.0,,pit (mare),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Marius Hills; long_axis_azimuth_deg=65; depth_raw=40
moon,West Marius Hills Pit,13.5507,301.8267,95.0,70.0,,47.0,16.0,,pit (mare),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Marius Hills; long_axis_azimuth_deg=55; depth_raw=16
moon,Mare Tranquillitatis Pit,8.3355,33.222,146.0,140.0,100.0,88.0,105.0,,pit (mare),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Mare Tranquillitatis; long_axis_azimuth_deg=170; depth_raw=105
moon,Southwest Mare Tranquillitatis Pit,4.1438,24.6871,100.0,80.0,32.0,26.0,25.0,,pit (mare),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Mare Tranquillitatis; long_axis_azimuth_deg=165; depth_raw=25
moon,Southwest Mare Tranquillitatis B Pit,4.1438,24.6867,,,18.0,10.0,13.0,,pit (mare),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Mare Tranquillitatis; long_axis_azimuth_deg=175; depth_raw=13
moon,Mare Ingenii Pit,-35.9494,166.0559,180.0,157.0,104.0,71.0,55.0,,pit (mare),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Mare Ingenii; long_axis_azimuth_deg=30; depth_raw=55
moon,Runge Pit,-2.7024,86.78,31.0,28.0,14.0,12.0,5.0,,pit (mare),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Runge Crater; long_axis_azimuth_deg=165; depth_raw=5
moon,Lacus Mortis Pit,44.9608,25.6119,280.0,210.0,,110.0,60.0,,pit (mare),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Lacus Mortis; long_axis_azimuth_deg=110; depth_raw=60
moon,Compton Pit,56.2247,106.1955,230.0,140.0,110.0,92.0,35.0,,pit (mare),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Compton Crater; long_axis_azimuth_deg=140; depth_raw=35
moon,North Procellarum 1 Pit,35.4097,314.3602,195.0,175.0,157.0,108.0,54.0,,pit (mare),WagnerRobinson2021_LROCPitAtlas,"LROC PDS RDR LUNAR_PIT_LOCATIONS.CSV (updated 2021-03-09), https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/EXTRAS/SHAPEFILE/LUNAR_PIT_LOCATIONS/LUNAR_PIT_LOCATIONS.CSV ; live atlas https://www.lroc.asu.edu/atlases/pits/list ; cite Wagner & Robinson (2021) LPSC 52 abstract 2530",host=Oceanus Procellarum; long_axis_azimuth_deg=5; depth_raw=54
