s,x,y,z_dem,z_ceil,tau,sigma_tau,span,coverage,ghost_frac,class
0.0,1374.856,587.822,235.250,239.208,-3.958,0.532,7.99,0.99,0.451,multipass
1.0,1374.864,588.870,235.260,238.772,-3.512,0.532,7.84,0.97,0.369,multipass
2.0,1374.857,589.878,235.500,238.933,-3.433,0.532,7.83,0.83,0.287,multipass
3.0,1374.835,590.847,235.630,238.622,-2.992,0.532,7.96,0.85,0.213,multipass
4.0,1374.801,591.780,235.710,238.436,-2.726,0.532,8.32,0.99,0.168,multipass
5.0,1374.755,592.679,235.770,238.120,-2.350,0.532,8.61,1.00,0.136,multipass
6.0,1374.699,593.545,235.770,238.026,-2.256,0.532,8.13,1.00,0.150,multipass
7.0,1374.633,594.380,235.860,238.058,-2.198,0.532,8.21,1.00,0.161,multipass
8.0,1374.558,595.186,235.990,238.304,-2.314,0.532,8.27,0.97,0.155,multipass
9.0,1374.477,595.966,236.130,238.254,-2.124,0.532,8.51,0.97,0.139,multipass
10.0,1374.389,596.721,236.430,238.079,-1.649,0.532,8.94,1.00,0.074,multipass
11.0,1374.297,597.453,236.450,237.721,-1.271,0.532,9.14,1.00,0.068,multipass
12.0,1374.200,598.163,236.460,237.407,-0.947,0.532,9.34,1.00,0.078,multipass
13.0,1374.101,598.855,236.450,237.389,-0.939,0.532,9.59,0.97,0.093,multipass
14.0,1374.000,599.530,236.460,237.501,-1.041,0.532,9.88,0.99,0.111,multipass
15.0,1373.899,600.190,236.480,238.039,-1.559,0.532,11.11,0.99,0.139,multipass
16.0,1373.799,600.836,236.490,238.077,-1.587,0.532,11.67,1.00,0.177,multipass
17.0,1373.700,601.471,236.490,238.218,-1.728,0.532,11.83,1.00,0.212,multipass
18.0,1373.604,602.097,236.490,238.425,-1.935,0.532,12.20,1.00,0.255,multipass
19.0,1373.513,602.715,236.500,238.463,-1.963,0.532,12.86,1.00,0.302,multipass
20.0,1373.426,603.328,236.510,238.674,-2.164,0.532,13.17,1.00,0.335,multipass
21.0,1373.346,603.937,236.500,238.913,-2.413,0.532,13.57,1.00,0.372,multipass
22.0,1373.273,604.544,236.500,238.939,-2.439,0.532,13.81,1.00,0.410,multipass
23.0,1373.209,605.153,236.510,238.971,-2.461,0.532,13.97,1.00,0.431,multipass
24.0,1373.155,605.763,236.500,239.162,-2.662,0.532,13.85,1.00,0.445,multipass
25.0,1373.111,606.377,236.510,239.320,-2.810,0.532,14.01,1.00,0.448,multipass
26.0,1373.080,606.998,236.540,239.360,-2.820,0.532,14.11,1.00,0.446,multipass
27.0,1373.061,607.626,236.580,239.451,-2.871,0.532,14.08,1.00,0.442,multipass
28.0,1373.056,608.265,236.560,239.699,-3.139,0.532,13.90,1.00,0.449,multipass
29.0,1373.068,608.916,236.480,240.191,-3.711,0.532,13.55,1.00,0.443,multipass
30.0,1373.095,609.580,236.470,240.345,-3.875,0.532,12.73,1.00,0.439,multipass
31.0,1373.139,610.260,236.520,240.585,-4.065,0.532,12.02,1.00,0.411,multipass
32.0,1373.201,610.954,236.520,241.982,-5.462,0.532,11.83,1.00,0.379,multipass
33.0,1373.278,611.662,236.360,241.175,-4.815,0.532,11.54,1.00,0.356,skylight
34.0,1373.371,612.383,236.469,241.188,-4.719,0.532,11.70,1.00,0.319,skylight
35.0,1373.478,613.115,236.469,241.189,-4.719,0.532,11.94,0.96,0.282,skylight
36.0,1373.600,613.859,231.454,236.874,-5.420,0.532,11.86,0.74,0.847,skylight
37.0,1373.735,614.612,231.823,236.640,-4.818,0.532,11.22,0.86,0.833,skylight
38.0,1373.882,615.374,231.403,240.353,-8.951,0.532,10.79,1.00,0.860,skylight
39.0,1374.041,616.144,231.381,240.603,-9.223,0.532,10.58,0.93,0.844,skylight
40.0,1374.212,616.921,236.010,240.671,-4.661,0.532,10.15,1.00,0.277,skylight
41.0,1374.393,617.704,236.520,240.712,-4.192,0.532,9.69,1.00,0.293,skylight
42.0,1374.584,618.493,236.560,240.207,-3.647,0.532,9.57,1.00,0.312,multipass
43.0,1374.785,619.285,236.670,239.913,-3.243,0.532,9.33,1.00,0.343,multipass
44.0,1374.994,620.081,236.630,239.953,-3.323,0.532,9.32,1.00,0.380,multipass
45.0,1375.211,620.880,236.660,240.124,-3.464,0.532,9.13,1.00,0.396,multipass
46.0,1375.435,621.679,236.670,240.244,-3.574,0.532,9.17,1.00,0.403,multipass
47.0,1375.666,622.480,236.670,240.273,-3.603,0.532,9.23,1.00,0.425,multipass
48.0,1375.902,623.279,236.610,240.306,-3.696,0.532,9.67,1.00,0.455,multipass
49.0,1376.144,624.077,236.610,240.107,-3.497,0.532,10.07,1.00,0.480,multipass
50.0,1376.390,624.873,236.600,240.143,-3.543,0.532,10.34,1.00,0.516,multipass
51.0,1376.640,625.666,236.610,240.026,-3.416,0.532,10.33,1.00,0.539,multipass
52.0,1376.893,626.455,236.570,240.056,-3.486,0.532,10.07,1.00,0.538,multipass
53.0,1377.149,627.239,236.590,240.161,-3.571,0.532,9.93,1.00,0.532,multipass
54.0,1377.408,628.021,236.580,240.259,-3.679,0.532,10.31,1.00,0.525,multipass
55.0,1377.669,628.799,236.630,240.510,-3.879,0.532,10.66,1.00,0.515,multipass
56.0,1377.932,629.573,236.620,240.978,-4.359,0.532,10.95,1.00,0.504,multipass
57.0,1378.197,630.345,236.610,241.157,-4.547,0.532,11.24,1.00,0.493,multipass
58.0,1378.462,631.113,236.590,241.192,-4.602,0.532,11.24,1.00,0.482,multipass
59.0,1378.729,631.879,236.550,241.315,-4.765,0.532,11.49,1.00,0.472,multipass
60.0,1378.996,632.642,236.540,241.428,-4.888,0.532,11.73,1.00,0.454,multipass
61.0,1379.263,633.403,236.580,241.489,-4.909,0.532,11.88,1.00,0.441,multipass
62.0,1379.531,634.161,236.630,241.768,-5.138,0.532,11.86,0.93,0.438,multipass
63.0,1379.797,634.918,236.600,241.809,-5.209,0.532,11.84,0.92,0.436,skylight
64.0,1380.063,635.672,236.398,241.680,-5.282,0.532,11.76,0.92,0.426,skylight
65.0,1380.328,636.424,236.190,241.689,-5.499,0.532,11.59,0.96,0.420,skylight
66.0,1380.591,637.175,236.190,241.822,-5.632,0.532,11.34,1.00,0.420,skylight
67.0,1380.853,637.924,236.380,241.872,-5.492,0.532,11.32,1.00,0.430,skylight
68.0,1381.112,638.673,236.590,241.799,-5.209,0.532,11.34,1.00,0.446,multipass
69.0,1381.369,639.419,236.664,241.895,-5.232,0.532,11.22,1.00,0.458,multipass
70.0,1381.624,640.165,236.700,241.955,-5.255,0.532,11.06,1.00,0.469,multipass
71.0,1381.875,640.910,236.700,241.866,-5.166,0.532,10.98,1.00,0.486,multipass
72.0,1382.122,641.654,236.710,241.304,-4.594,0.532,10.73,0.99,0.499,multipass
73.0,1382.366,642.398,236.790,240.751,-3.962,0.532,10.37,1.00,0.517,multipass
74.0,1382.605,643.142,236.790,240.825,-4.035,0.532,10.32,1.00,0.523,multipass
75.0,1382.840,643.885,236.810,240.812,-4.002,0.532,10.35,1.00,0.511,multipass
