Name,Terrain,Type,Host Feature,Latitude,Longitude_180,Longitude_360,Funnel Max Diam,Funnel Min Diam,Inner Max Diam,Inner Min Diam,Azimuth,Depth,Depth_Num,Depth1,Depth2,Depth3,Image 1,Image 1 Line,Image 1 Sample,Inc 1,Em 1,Time 1,Res 1,Image 2,Inc 2,Em 2,Time 2,Res 2,Image 3,Inc 3,Em 3,Time 3,Res 3,Stereo IDs,DTM,Other Useful Images,Warnings,Description,Entrance Ramp?,Overhangs?,Nearby Pits?,Nearby Fractures?,Nearby Depressions?,In Dome?,Beside Dome?,In Depression?,Colinear Pits?,Colinear depressions?,Colinear Fractures?
Marius Hills Pit,Mare,,Marius Hills,14.0917,-56.7701,303.2299,92,79,55,49,65,40,40,,,,M155607349R,32437,723,-12.63,8.82,12.08,0.44,M122584310L,-25.15,0.48,13.46,0.43,M1256963084R,28.73,0.96,10.32,0.88,"M1274616922L,M1274609891L",NAC_DTM_MARIUSPIT01,,Depth is determined from stereo modelling; image 1/2/3 are merely useful views,"Elliptical pit in the middle of a sinuous rille.  Floor appears mostly flat, covered in boulders. There are slight overhangs near floor-level on both sides, though there may not be any access to a deeper void space without squeezing through debris.  Funnel is ~10 m deep.  West Marius Hills pit is ~45km WSW.",N,Y,N,N,N,N,N,Y,N,N,N
West Marius Hills Pit,Mare,,Marius Hills,13.5507,-58.1733,301.8267,95,70,N/A,47,55,16,16,15.5,>13.2,>10.6,M1318098123R,26290,3877,42.99,1.99,9.25,0.8,M1346290850R,28.05,0.71,10.36,0.91,M124952951R,13.17,0.51,11.64,0.44,"M1313401618L,M1313394599L",,,"Depth 1 is to center of pit, others are to partway down floor.","Diamond-shaped pit, SW side is a ramp from rim to floor. Floor seems bowl-shaped except for a hint that the SE edge of the floor slopes back down towards the wall, possibly indicating an extant or former overhang on that side.  There is a large linear collapse nearly in line with this pit's long axis ~2km NW, crossing a wrinkle ridge, possibly indicating the presence of a partially intact lava tube.",Y,Y?,N,N,Y,N,N,N,N,Y,N
Mare Tranquillitatis Pit,Mare,,Mare Tranquillitatis,8.3355,33.222,33.222,146,140,100,88,170,105,105,,,,M126710873R,12020,1352,26.48,0.47,10.29,0.41,M155016845R,-10.57,-5.22,12.54,0.41,M1225799854L,14.88,-0.75,11.2,0.84,"M152655237R,M137332905R",NAC_DTM_TRANQPIT1,,Depth is determined from stereo modelling; image 1/2/3 are merely useful views,"Elliptical pit with vertical walls.  The type example for cylindrical pits.  Funnel is ~20 m deep, inner pit depth of 105m is measured from bottom of funnel.  Walls are vertical and are visible to ~80m depth, although there is a recess all the way around the pit at ~40m depth below the surface.  Floor that is not overhung is flat and covered in boulders, floor under the E wall slopes downward.  There are overhangs of at least 10-15 m on E, W, and N sides. No notable surface features in the area.",N,Y,N,N,N,N,N,N,N,N,N
Southwest Mare Tranquillitatis Pit,Mare,,Mare Tranquillitatis,4.1438,24.6871,24.6871,100,80,32,26,165,25,25,27.9,22.8,>25.2,M1345757107L,21851,4015,17.68,-0.85,10.86,0.88,M1297582135L,-27.83,1.43,13.85,0.91,M1317564208L,34.02,-0.85,9.75,0.77,"M1341063036R,M1297582135L",,,Stereo is accidental and does not have matching lighting.  Depths are to outer of the concentric pits.,"Round pit, seems to have multiple levels of floor. The funnel also has multiple exposed layers showing a stairstep, and is ~20-25m deep.  W side of floor is a deeper pit, Southwest Mare Tranquillitatis B. There appears to be an additional narrow level of flat non-funnel interior surface on the N wall, above the main floor.  There is a wrinkle ridge 2.3 km SE (possibly also 1 km SE), pit is on the uphill side of the ridge.",N,?,N,N,N,N,N,N,N,N,N
Southwest Mare Tranquillitatis B Pit,Mare,,Mare Tranquillitatis,4.1438,24.6867,24.6867,N/A,N/A,18,10,175,13,13,12.8,>0,>16,M1345757107L,21851,4024,17.68,-0.84,10.86,0.88,M1297582135L,-27.83,1.44,13.85,0.91,M1317564208L,34.02,-0.84,9.75,0.77,N/A,,,"Depth 1 is from floor of outer pit, Depths 2&3 are from outer pit rim adjusted by outer pit depth.",Inner pit on W side of floor of Southwest Mare Tranquillitatis pit.  Floor may slope downward to the W.,N,?,N,N,N,N,N,N,N,N,N
Mare Ingenii Pit,Mare,,Mare Ingenii,-35.9494,166.0559,166.0559,180,157,104,71,30,55,55,,,,M1227298727R,17531,1605,43.98,0.62,10.18,0.62,M171835900L,34.58,-0.44,11.85,0.69,M138819477R,-38.81,-0.72,13.27,0.68,"M1117792640R,M1117785537L",,,Depth is determined from stereo modelling; image 1/2/3 are merely useful views,"Elliptical pit with a very pronounced funnel exposing numerous coherent layers.  There is a ~40m diameter crater on the wider E edge of the funnel, which may have triggered some expansion of the funnel on that side.  The floor is higher on the E side than the W, and slopes down from N to S. Depth from rim to floor ranges from 15-65 m, and the funnel is ~40m deep on the E side (~20-30 on the W).  There is an overhang of at least 10-20 m on both the W and S sides.  No unusual surface features in the area, although there is a 600m crater ~200m N of the pit.",N,Y,N,N,N,N,N,N,N,N,N
Runge Pit,Mare,,Runge Crater,-2.7024,86.78,86.78,31,28,14,12,165,5,5,4.9,5.5,5.8,M119285915R,14100,945,-61.25,-0.25,16.08,0.53,M1146585002R,-22.75,-0.89,13.49,1.06,M1105352882R,32.44,0.45,9.84,1.11,"M190036923R,M190022623R",,M1140701377L,,"Small cylindrical pit. Floor appears flat, cannot determine if there is any overhang due to small scale. A subdued ridge (tectonic?) runs NNE/SSW ~300m W of the pit.",N,?,N,N,N,N,?,N,N,N,N
Lacus Mortis Pit,Mare,,Lacus Mortis,44.9608,25.6119,25.6119,280,210,N/A,110,110,60,60,,,,M126759036L,25650,2845,49.39,-1.53,10.23,0.48,M109072682R,-46.47,2.22,12.11,0.48,M1136377273R,55.52,32.73,9.59,2.02,"M1317542330L,M1317528271L",,,"Depth is determined from stereo modelling; image 1/2/3 are merely useful views, note that image 3 is slewed to the north.  Pit depth is calculated assuming a funnel depth of 40 m.","Large diamond-shaped pit with not-quite-vertical walls.  The SW end is a slope from surroundings to floor. The W wall is covered by a debris slope, and the N wall has an overhang a few meters deep, with a back wall apparently visible. The apparent ""funnel"" is 40-60m deep (of the full pit's ~100m depth from the surrounding surface), there is no clear transition point to vertical wall, although there is an overhang point at ~60m depth.  There is a graben ~1km NW, and a much large potential pit ~10 km WSW on the other side of the graben.",Y,Y,?,N,Y,N,N,N,N,N,N
Compton Pit,Mare,,Compton Crater,56.2247,106.1955,106.1955,230,140,110,92,140,35,35,26.6,38.7,40,M110892182R,44678,1988,60.26,0.84,10.59,0.58,M1332351545L,60.01,-1.02,10.27,1.2,M189923763R,61.63,1.02,9.76,1.83,"M1225299477R,M1225278371L",,,"Inner max diam is from permanently-shadowed SE rim to NW-most bit of rim by NW slope. Depths are from partway down funnel, not from inner rim, and go to partway down slope.  ","Elliptical pit, with extremely similar shape to the Mare Ingenii pit.  NW side is a slope from surface to permanent shadow. Numerous layers visible on W wall in nadir images, similar to S wall of Lacus Mortis.  There is an overhang under the E rim at the edge of the permanent shadow. No notable features within a few km, though the W edge of the unit the pit is in, ~10 km away, has a weird, scalloped edge.",Y,?,N,N,N,N,N,N,N,N,N
North Procellarum 1 Pit,Mare,,Oceanus Procellarum,35.4097,-45.6398,314.3602,195,175,157,108,5,54,54,50,57.8,54.2,M1341498389L,23297,3771,-46.58,0.99,14.04,1.04,M1318006340L,52.36,-2.13,9.22,0.94,M1243977124L,58.14,-1.96,8.73,1.21,"M1206329407R,M1206315342L",NAC_DTM_PRCLRMPIT01,,,"Elliptical pit, similar to Ingenii/Compton.  N wall is almost a slope from rim to floor, but there appear to be two layers of outcrop in the way.  Floor is mostly bowl-shaped, and the center is filled with boulders.  North Procellarum 2 is ~2 km WSW.",N?,?,Y,N,N,N,N,N,N,N,N
