longitude,latitude,Label:string,TypeCode:string,Priority:string,APC_Diameter:string,APC_Depth:string,Comment:string,Feature:string
240.4585,-0.94678,APC001,APC,1,25,32,APC -- tiny ~25m,point
237.69604,-12.47266,APC003,APC,1,30,47,APC 40m small deep nochain--big smrp?,point
240.88672,-5.68445,APC005,APC,1,30,17,APC deep pair,point
240.94214,-1.61377,APC006,APC,1,40,38,APC small deep?,point
241.29932,-1.68555,APC007,APC,1,40,28,"APC, deep? ~40m",point
241.74921,-6.64679,APC008,APC,1,40,50,APC deep,point
244.25879,-1.28809,APC009,APC,1,40,45,APC ~ small deep,point
241.38965,-2.71338,APC010,APC,1,45,30,"APC, deep ~45m",point
243.24515,-4.50244,APC011,APC,1,45,34,APC irregular 119x45,point
244.2749,-1.08203,APC012,APC,1,45,48,"APC ~ small deep, faint graben?",point
244.27881,-1.12158,APC013,APC,1,45,50,"APC ~ small deep, faint graben?",point
236.3418,-13.89099,APC014,APC,1,50,75,APC nochain deep,point
243.74658,-6.17554,APC015,APC,1,75,66,"APC - deep, ~ 75x55m",point
243.03406,-4.20642,APC016,APC,0,55,35,APC - deep - 60m >.65 d/D,point
243.37195,-5.88489,APC017,APC,1,55,33,APC deep,point
236.7605,-13.86035,APC018,APC,1,60,85,APC irregular nochain deep,point
240.52335,-1.05363,APC020,APC,1,70,53,CTX images not very clear.,point
241.09717,-1.57715,APC021,APC,1,60,44,"APC, deep",point
242.08498,-2.86392,APC022,APC,1,65,31,Small APC probably Type II,point
242.63,-5.29,APC023,APC,1,60,46,APC,point
245.75446,11.83345,APC024,APC,1,60,27,50m half-filled APC?,point
250.10669,4.13696,APC025,APC,1,60,88,APC -- Deep d/D > 1.4,point
257.12384,12.6433,APC026,APC,1,60,48,Ascraeus NE flank 60m APC in chain with largers,point
235.18518,0.87524,APC027,APC,1,65,96,APC deep nochain,point
236.34375,-21.41626,APC028,APC,1,65,49,"APC,  AA",point
240.72299,-18.73004,APC029,APC,1,65,80,APC deep nochain,point
240.89502,-5.68079,APC030,APC,1,65,38,APC deep pair,point
242.24603,-2.71902,APC032,APC,1,70,38,Small APC - dark interior with sharp edge.,point
240.46387,-0.95215,APC033,APC,1,70,89,"APC -- deep, ~70m",point
236.42,-13.6,APC034,APC,1,75,50,APC -- end chain deep,point
237.90637,-18.10693,APC035,APC,1,75,76,"APC, irregular heart shape in AA? ~ questionable, just a dark floor?",point
241.57855,-1.85474,APC038,APC,1,80,44,APC ~ squarish pit,point
255.63281,7.1543,APC039,APC,1,80,71,APC,point
238.81262,-19.40198,APC040,APC,1,90,82,"Hourglass -- merged APCs? 185 long,22 m narrowest",point
239.37476,-1.02046,APC041,APC,1,90,57,"APC, 85m, 52deep",point
239.53999,-1.31,APC042,APC,1,90,100,"deep, nochain, 109m",point
239.66,-1.36,APC043,APC,1,90,47,APC,point
237.82822,-2.04173,APC045,APC,0,95,67,Probably Type I,point
236.72449,-14.87268,APC046,APC,1,100,32,APC  nochain bearded -- no night thermal? 100m,point
237.5336,-14.5343,APC047,APC,1,125,52,APC in chain,point
245.75,-15.85,APC048,APC,1,110,102,APC,point
241.25377,-13.53717,APC049,APC,1,105,80,APC irregular 105x176,point
237.04492,-0.31885,APC050,APC,1,110,83,APC deep super pair,point
238.86719,-13.6178,APC051,APC,1,110,50,APC nochain b=102,point
239.64,-1.67,APC052,APC,1,110,55,APC,point
239.90436,-11.35315,APC053,APC,1,110,66,APC near chains,point
249.21777,0.33252,APC054,APC,1,109,67,"APC in graben, 120m irregular",point
252.70079,21.79194,APC055,APC,1,112,78,2 Channel edge mystery spots,point
237.05029,-0.33545,APC056,APC,1,115,86,APC deep super pair,point
238.30899,-14.36212,APC057,APC,1,115,39,APC 144m  dark material inside? possible vent,point
249.76453,1.43201,APC058,APC,1,115,82,APC ~120m?,point
232.81274,2.04565,APC059,APC,1,118,71,APC - Type II,point
237.0083,-11.72388,APC060,APC,1,120,68,APC,point
240.90152,-7.17221,APC061,APC,0,119,55,APC nochain,point
236.50999,-17.21,APC062,APC,1,130,85,APC nochain AA 150m,point
236.50999,-13.96,APC063,APC,1,125,39,APC nochain,point
237.49023,-14.00342,APC064,APC,1,125,44,APC  in chain,point
239.95,-13.92,APC065,APC,1,125,59,APC nochain,point
238.77234,-14.06042,APC066,APC,1,130,45,APC,point
239.79077,-14.84766,APC067,APC,1,130,47,"APC inchain, 120m",point
240.53999,-6.713,APC068,APC,1,130,93,"APC Irregular, 128x95",point
235.41211,-14.20947,APC069,APC,1,159,47,nochain,point
239.46912,-0.91003,APC070,APC,1,95,67,Type I or II? No chain. Sloped upper rim above aperture.,point
240.02,-13.84,APC071,APC,1,140,81,APC nochain,point
240.32001,-7.84,APC072,APC,1,170,72,APC,point
245.89,-16.33,APC073,APC,0,150,50,APC,point
239.22,-13.94,APC074,APC,0,180,46,APC,point
241.39307,-5.5332,APC075,APC,0,165,345,APC ~ Jeanne,point
235.40527,0.99561,APC076,APC,1,165,114,"APC, end of pit, inchain 162m",point
237.252,-13.07,APC077,APC,1,165,71,APC,point
237.558,-14.507,APC078,APC,1,185,88,APC,point
240.03999,-14.28,APC079,APC,0,175,84,APC in chain b=164,point
236.62,-12.6,APC080,APC,1,180,63,"APC, nochain, on inflated tubeflow",point
238.11609,-18.901,APC081,APC,1,185,112,APC dark nochain,point
239.02,-6.31,APC082,APC,1,185,99,APC,point
239.53,-13.38,APC083,APC,1,190,82,APC,point
248.58008,-0.45215,APC084,APC,1,190,87,APC -- 7th grd class,point
247.55145,17.28099,APC085,APC,0,200,59,Fanpit B,point
240.55,-6.708,APC086,APC,1,215,161,APC -- dust mound under rim,point
237.38794,-19.57495,APC087,APC,1,230,80,APC Elliot,point
236.68213,-17.10645,APC088,APC,1,235,75,APC 324m shallow?,point
238.41,-18.55,APC089,APC,1,240,80,"APC, AA, nochain",point
237.05,-10.59,APC090,APC,1,250,69,APC,point
240.03,-6.52,APC091,APC,1,250,155,APC,point
247.54391,17.27168,APC092,APC,1,275,167,Fanpit A,point
239.21001,-4.29,APC093,APC,1,285,132,APC,point
259.35361,24.76974,APC094,APC,0,350,128,Tractus3,point
259.34521,26.16333,APC095,APC,0,375,183,Tractus1,point
237.56,-19.46,APC096,APC,1,475,124,"Hayden, 540m nochain",point
245.85001,-16.25,APC098,APC,0,150,50,APC,point
242.52991,-17.46004,APC099,APC,0,215,151,APC,point
234.96259,-8.11974,APC100,APC,1,130,80,"135 x 90, depth may be wrong if interior is dark material.",point
239.4024,-13.67523,APC101,APC,1,430,138,"Very large type III - Upper cliffs, sloped lower walls.",point
239.42126,-13.68152,APC102,APC,1,375,103,"Very large type III - Upper cliffs, sloped lower walls.",point
239.43823,-13.68353,APC103,APC,1,520,218,"Very large type III - Upper cliffs, sloped lower walls.",point
238.6571,-6.36218,APC104,APC,0,130,57,APC,point
236.53902,-13.08098,APC105,APC,1,190,47,APC,point
139.13029,28.58124,APC106,APC,1,255,92,sloped floor?,point
139.71429,28.58714,APC107,APC,1,160,34,in chain - Elysium,point
139.92792,28.53275,APC108,APC,1,360,105,in chain - Elysium 3+,point
139.32889,29.70285,APC109,APC,1,240,74,220x260ish,point
139.68954,29.71901,APC110,APC,1,115,43,near trough rim -- Elysium,point
142.10928,29.26669,APC111,APC,1,160,55,near Elysium ~160m,point
147.51294,24.76074,APC112,APC,1,100,72,Good Elysium Type II APC,point
147.90822,22.53269,APC113,APC,1,270,98,Elysium APC,point
148.73206,24.41968,APC114,APC,1,90,20,~90m - maybe TypeII,point
149.91531,23.21488,APC115,APC,1,135,74,Classic APC ~145m,point
236.07001,-13.94,APC117,APC,1,200,84,"APC, Circe",point
238.13104,-12.91895,APC118,APC,1,90,30,APC -- Small type II?,point
236.57077,-6.75638,APC119,APC,1,250,101,"APC irregular 250x450 trough, In spread-out chain,",point
237.54247,-14.52867,APC120,APC,1,175,88,"APC in chain with Catalina, 105 deep,171 across",point
259.32642,25.23291,APC121,APC,0,425,185,Tractus2,point
235.15891,-14.00238,APC122,APC,1,122,41,nochain,point
236.88135,-11.86816,APC123,APC,1,210,57,chain,point
234.88623,-14.66162,APC124,APC,1,250,72,APC,point
239.39124,-14.9541,APC125,APC,1,137,36,APC,point
239.39099,-14.95801,APC126,APC,1,125,38,APC,point
235.42731,-13.75894,APC127,APC,1,105,50,APC,point
255.81567,16.17691,APC128,APC,1,60,41,APC ~ 60m,point
231.87921,-2.09052,APC129,APC,0,230,105,Outstandingly perfect Type II APC,point
122.04605,21.52222,APC130,APC,1,110,41,collapse pit kinda like an APC,point
239.25,-13.52,APC131,APC,0,170,31,APC,point
242.42,-4.28,APC132,APC,0,130,20,APC - Shallow or filled-in? Possible rim overhang,point
250.38254,30.53043,APC133,APC,1,140,70,APC Lathrop contrib,point
234.76642,-2.49139,APC134,APC,1,100,47,APC,point
234.72192,-2.3743,APC135,APC,1,110,53,APC 110x80,point
234.71857,-2.36801,APC136,APC,1,90,58,APC 90x75,point
234.71356,-2.35385,APC137,APC,1,75,40,APC,point
235.94041,-18.64916,APC138,APC,1,135,65,"APC, dark, 135x90",point
250.46436,30.71753,APC139,APC,1,415,168,Large ovoid APC 415x310 d=168  Lathrop contrib,point
252.24725,-4.35956,APC140,APC,0,135x195,91,Notcis Labyrinth APC - deep; overhang,point
225.45862,-24.78119,APC141,APC,0,110,35,SW Daedalia APC,point
240.99414,-5.37891,CC0001,con,1,n/a,n/a,connected tube?,point
240.99377,-5.38513,CC0002,con,1,n/a,n/a,connected tube?,point
253.87231,0.19116,CC0003,crk,3,n/a,n/a,Fractures in channel wall,point
252.83438,6.12328,CC0004,crk,3,n/a,n/a,pit or fracture near deep trough,point
258.42432,14.23633,CC0005,crk,3,n/a,n/a,Channel wall fracture candidate,point
254.5296,8.3631,CC0006,crk,3,n/a,n/a,Channel,point
254.03296,4.3313,CC0007,crk,3,n/a,n/a,fracture in channel wall,point
231.4201,2.48972,CC0008,crk,3,n/a,n/a,Irregular pattern of graben fractures,point
235.46582,-3.85303,CC0009,crk,2,n/a,n/a,Small rimless pit,point
241.06152,-7.18286,CC0010,end,2,n/a,n/a,Deep pit in end of trough,point
122.30542,21.50098,CC0011,pit,0,n/a,n/a,large deep Hephaestus pit,point
144.03967,23.37192,CC0012,end,2,n/a,n/a,Discreet pit at end of trough,point
141.00479,29.4056,CC0013,end,2,n/a,n/a,distal end of pit chain,point
139.75941,29.83328,CC0014,end,2,n/a,n/a,end of trough,point
236.62215,-6.66313,CC0015,end,1,n/a,n/a,upper end of trough - impact?,point
239.65182,-20.14194,CC0016,end,2,n/a,n/a,Possible entrance at trough end where fault continues,point
239.63451,-20.22433,CC0017,end,3,n/a,n/a,possible accesss beneath partially collapseed pit,point
258.57367,10.57269,CC0018,end,3,n/a,n/a,pit at end of shallow chain,point
257.21704,8.73511,CC0019,end,2,n/a,n/a,Black-looking hole at end of collapse trough,point
254.74646,4.56909,CC0020,end,3,n/a,n/a,Channel tip,point
255.41315,1.83636,CC0021,end,0,n/a,n/a,Large trough with overhang at end,point
253.67383,6.23682,CC0022,end,3,n/a,n/a,End of collapse trough,point
254.98621,1.24988,CC0023,end,2,n/a,n/a,Hole in end of collapse trough,point
241.75534,-14.18007,CC0024,end,2,n/a,n/a,possible vent?,point
240.83023,-6.68977,CC0025,end,1,n/a,n/a,"Pit at end of trough, possibly under overhang",point
284.58795,28.78819,CC0026,end,1,n/a,n/a,Kasei Fracture Tip Cave ~ strong ~ i=49,point
139.38675,30.01179,CC0027,flr,2,n/a,n/a,pit in trough floor,point
140.94908,30.24073,CC0028,flr,2,n/a,n/a,"depression in fracture floor, overhang?",point
243.05322,-3.87207,CC0029,flr,2,n/a,n/a,Pit in channel floor,point
243.7738,-6.1698,CC0030,flr,2,n/a,n/a,Pit in channel flor skylight,point
244.19116,-7.70654,CC0031,flr,3,n/a,n/a,"Channel center deep pit, impact?",point
248.94623,1.86311,CC0032,flr,2,n/a,n/a,Pit floor pits,point
245.39297,-7.18535,CC0033,flr,2,n/a,n/a,channel floor center,point
248.7941,-1.1727,CC0034,flr,3,n/a,n/a,Channel edge floor,point
348.87698,29.64915,CC0035,flr,3,n/a,n/a,Channel floor dark pit,point
244.17578,-6.94916,CC0036,flr,3,n/a,n/a,Channel edge,point
254.474,5.11572,CC0037,flr,3,n/a,n/a,Channel edge pit,point
257.3432,5.73541,CC0038,flr,3,n/a,n/a,crater in channel with deep central pit,point
253.43848,3.02271,CC0039,flr,3,n/a,n/a,channel floor candidate,point
258.09717,10.92065,CC0040,flr,3,n/a,n/a,Channel pit,point
252.67963,7.66431,CC0041,flr,2,n/a,n/a,Good channel edge candidate,point
259.51233,10.63947,CC0042,flr,3,n/a,n/a,Channel floor,point
257.66394,8.43481,CC0043,flr,3,n/a,n/a,Channel floor,point
254.90845,1.14233,CC0044,flr,3,n/a,n/a,Sun-facing shadows in channel floor,point
259.29132,9.02863,CC0045,flr,3,n/a,n/a,channel small rimless pit next to impact,point
252.85071,4.56213,CC0046,flr,2,n/a,n/a,small dark small rimless pit in channel center,point
254.02222,4.28308,CC0047,flr,3,n/a,n/a,Line of pits in vent channel,point
244.64355,-6.98201,CC0048,flr,2,n/a,n/a,channel floor hole,point
241.08522,-15.71522,CC0049,flr,3,n/a,n/a,channel floor smrp,point
242.55104,-19.72817,CC0050,flr,2,n/a,n/a,channel floor pinholes,point
242.55046,-19.72805,CC0051,flr,2,n/a,n/a,channel floor pinholes,point
243.59631,-8.1178,CC0052,flr,3,n/a,n/a,graben-channel intersection,point
241.37207,-12.27734,CC0053,flr,2,n/a,n/a,channel edge / floor,point
242.8667,-14.46582,CC0054,flr,3,n/a,n/a,channel floor center,point
243.07037,-18.35437,CC0055,flr,1,n/a,n/a,channel floor smrp,point
257.5163,16.90201,CC0056,flr,3,n/a,n/a,Possible small pit at channel floor edge,point
240.56764,-15.09371,CC0057,crk,1,n/a,n/a,Similar to North of Arsia,point
240.55136,-15.09529,CC0058,crk,1,n/a,n/a,Similar to North of Arsia,point
240.5497,-15.09581,CC0059,crk,1,n/a,n/a,Similar to North of Arsia,point
302.84888,27.01245,CC0060,crk,2,n/a,n/a,Kasei collapse region i=65,point
302.8446,27.06726,CC0061,crk,2,n/a,n/a,Kasei collapse region i=65,point
303.43057,27.04687,CC0062,crk,2,n/a,n/a,Kasei collapse region i=42,point
296.07401,22.48661,CC0063,crk,2,n/a,n/a,Kasei collapse region i=42 - dusty fracture,point
296.53018,32.0254,CC0064,crk,3,n/a,n/a,Kasei narrow collapse fractures,point
296.70981,31.91345,CC0065,crk,2,n/a,n/a,Kasei narrow collapse fractures,point
240.02612,35.11383,CC0066,flr,0,n/a,n/a,candidates at edge of graben floor,point
240.01738,35.1217,CC0067,flr,0,n/a,n/a,candidates at edge of graben floor,point
240.02065,35.12909,CC0068,flr,0,n/a,n/a,candidates at edge of graben floor,point
