s,x,y,z,tx,ty,tz,area,coverage,width,height,eta,d_eq,z_floor,z_ceil,n_pts
0.0000,1374.3335,585.5050,229.9316,0.3324,0.8525,-0.4035,8.6738,1.0000,5.6046,4.3673,1.9987,3.3232,228.2870,232.6247,3701
1.0000,1374.6762,586.4436,229.5107,0.2991,0.8786,-0.3722,9.4888,0.8194,7.0760,4.3770,2.1608,3.4759,228.2286,232.4527,2409
2.0000,1374.9693,587.3701,229.1407,0.2641,0.9031,-0.3387,12.0117,0.7222,8.7867,3.9723,3.6273,3.9107,228.1605,232.2360,2614
3.0000,1375.2155,588.2848,228.8193,0.2278,0.9253,-0.3032,14.8432,0.8611,10.0474,4.3359,4.9567,4.3473,227.2291,231.8536,3952
4.0000,1375.4178,589.1880,228.5442,0.1907,0.9449,-0.2661,8.1641,0.9167,10.0176,4.4079,5.4857,3.2241,226.7745,231.5159,5505
5.0000,1375.5787,590.0800,228.3129,0.1532,0.9616,-0.2278,7.1304,0.7361,9.6677,2.9637,5.4460,3.0131,226.5808,230.1490,5857
6.0000,1375.7011,590.9612,228.1233,0.1159,0.9751,-0.1888,10.8104,0.8056,9.3788,3.3973,3.9628,3.7100,226.2685,230.5310,5436
7.0000,1375.7878,591.8318,227.9730,0.0793,0.9855,-0.1498,13.4031,0.8750,9.1801,3.8322,3.1805,4.1310,226.0139,230.3725,5618
8.0000,1375.8414,592.6921,227.8595,0.0441,0.9928,-0.1111,5.7545,1.0000,8.8485,4.3962,2.4971,2.7068,225.6155,229.5395,6394
9.0000,1375.8648,593.5424,227.7807,0.0108,0.9972,-0.0735,7.4092,1.0000,8.7974,4.6162,1.8493,3.0714,225.3346,229.8905,7429
10.0000,1375.8606,594.3831,227.7341,-0.0203,0.9991,-0.0373,27.6080,1.0000,8.7377,5.0512,1.8099,5.9289,224.9464,230.8932,8684
11.0000,1375.8317,595.2143,227.7175,-0.0488,0.9988,-0.0030,30.8445,1.0000,9.1901,5.3214,1.9291,6.2668,224.7040,230.8704,9095
12.0000,1375.7808,596.0365,227.7285,-0.0743,0.9968,0.0292,34.2239,1.0000,9.5794,5.6720,2.0845,6.6012,224.3597,230.1365,9162
13.0000,1375.7106,596.8499,227.7647,-0.0968,0.9935,0.0591,35.0299,0.9722,9.6454,5.8656,2.1084,6.6784,224.1655,230.1309,9377
