s,x,y,z_dem,z_ceil,tau,sigma_tau,span,coverage,ghost_frac,class
0.0,1374.333,585.505,234.760,232.625,2.135,1.100,5.60,1.00,0.000,intact
1.0,1374.676,586.444,235.080,232.453,2.627,1.100,7.08,0.82,0.000,intact
2.0,1374.969,587.370,235.240,232.236,3.004,1.100,8.79,0.72,0.000,intact
3.0,1375.216,588.285,235.250,231.854,3.396,1.100,10.05,0.86,0.000,intact
4.0,1375.418,589.188,235.400,231.516,3.884,1.100,10.02,0.92,0.000,intact
5.0,1375.579,590.080,235.530,230.149,5.381,1.100,9.67,0.74,0.000,intact
6.0,1375.701,590.961,235.660,230.531,5.129,1.100,9.38,0.81,0.000,intact
7.0,1375.788,591.832,235.720,230.373,5.348,1.100,9.18,0.88,0.000,intact
8.0,1375.841,592.692,235.780,229.540,6.240,1.100,8.85,1.00,0.000,intact
9.0,1375.865,593.542,235.810,229.891,5.919,1.100,8.80,1.00,0.000,intact
10.0,1375.861,594.383,235.850,230.893,4.957,1.100,8.74,1.00,0.000,intact
11.0,1375.832,595.214,235.970,230.870,5.100,1.100,9.19,1.00,0.000,intact
12.0,1375.781,596.037,236.080,230.137,5.944,1.100,9.58,1.00,0.000,intact
13.0,1375.711,596.850,236.380,230.131,6.249,1.100,9.65,0.97,0.000,intact
14.0,1375.624,597.655,236.390,230.198,6.192,1.100,9.82,1.00,0.000,intact
15.0,1375.524,598.451,236.360,230.127,6.233,1.100,10.21,1.00,0.000,intact
16.0,1375.412,599.240,236.380,230.310,6.070,1.100,10.51,1.00,0.000,intact
17.0,1375.293,600.021,236.400,231.488,4.912,1.100,10.50,0.99,0.000,intact
18.0,1375.168,600.795,236.450,231.860,4.590,1.100,10.74,1.00,0.000,intact
19.0,1375.040,601.562,236.460,232.042,4.418,1.100,11.43,1.00,0.000,intact
20.0,1374.912,602.322,236.500,232.939,3.561,1.100,11.97,1.00,0.000,intact
21.0,1374.788,603.076,236.500,233.112,3.388,1.100,12.31,1.00,0.000,intact
22.0,1374.668,603.824,236.490,233.695,2.795,1.100,12.76,1.00,0.000,intact
23.0,1374.557,604.566,236.490,234.110,2.380,1.100,13.37,1.00,0.000,intact
24.0,1374.457,605.302,236.500,234.276,2.224,1.100,13.77,1.00,0.000,intact
25.0,1374.371,606.033,236.500,234.218,2.282,1.100,14.49,1.00,0.000,intact
26.0,1374.302,606.759,236.510,234.243,2.267,1.100,15.15,1.00,0.000,intact
27.0,1374.252,607.481,236.540,234.295,2.245,1.100,15.60,1.00,0.000,intact
28.0,1374.224,608.198,236.530,234.438,2.092,1.100,15.47,1.00,0.000,intact
29.0,1374.221,608.911,236.450,234.658,1.792,1.100,15.10,1.00,0.000,intact
30.0,1374.244,609.620,236.440,234.541,1.899,1.100,15.06,1.00,0.000,intact
31.0,1374.292,610.326,236.440,234.596,1.844,1.100,14.32,1.00,0.000,intact
32.0,1374.363,611.029,236.490,234.824,1.666,1.100,12.97,1.00,0.000,intact
33.0,1374.456,611.728,236.560,237.157,-0.597,1.100,12.67,1.00,0.000,skylight
34.0,1374.569,612.424,236.380,236.321,0.059,1.100,12.11,1.00,0.000,skylight
35.0,1374.699,613.116,231.594,236.257,-4.662,1.100,11.91,1.00,0.341,skylight
36.0,1374.845,613.807,232.153,236.144,-3.991,1.100,11.79,0.92,0.307,skylight
37.0,1375.006,614.494,232.274,235.618,-3.344,1.100,11.73,0.94,0.273,skylight
38.0,1375.179,615.178,231.881,233.486,-1.605,1.100,11.45,0.81,0.245,skylight
39.0,1375.363,615.861,231.457,235.101,-3.644,1.100,10.84,0.99,0.243,skylight
40.0,1375.556,616.541,231.457,230.696,0.761,1.100,10.78,0.96,0.243,skylight
41.0,1375.756,617.219,236.370,235.750,0.620,1.100,10.74,1.00,0.000,skylight
42.0,1375.961,617.894,236.560,236.094,0.466,1.100,10.78,1.00,0.000,skylight
43.0,1376.170,618.569,236.610,236.088,0.523,1.100,10.59,1.00,0.000,intact
44.0,1376.381,619.241,236.550,235.374,1.176,1.100,10.69,1.00,0.000,intact
45.0,1376.592,619.912,236.550,234.436,2.114,1.100,10.67,1.00,0.000,intact
46.0,1376.802,620.581,236.550,234.571,1.979,1.100,10.92,1.00,0.000,intact
47.0,1377.008,621.250,236.590,234.552,2.038,1.100,11.00,1.00,0.000,intact
48.0,1377.208,621.917,236.560,234.541,2.019,1.100,11.03,1.00,0.000,intact
49.0,1377.402,622.583,236.550,234.938,1.612,1.100,11.13,1.00,0.000,intact
50.0,1377.587,623.248,236.630,234.918,1.712,1.100,11.31,1.00,0.000,intact
51.0,1377.761,623.913,236.630,234.900,1.730,1.100,11.57,1.00,0.000,intact
52.0,1377.924,624.577,236.600,234.879,1.721,1.100,11.80,1.00,0.000,intact
53.0,1378.074,625.241,236.540,234.905,1.635,1.100,12.28,1.00,0.000,intact
54.0,1378.215,625.906,236.570,235.051,1.519,1.100,12.38,1.00,0.000,intact
55.0,1378.347,626.572,236.570,235.036,1.534,1.100,12.24,1.00,0.000,intact
56.0,1378.473,627.240,236.530,234.970,1.560,1.100,12.07,1.00,0.000,intact
57.0,1378.594,627.910,236.530,234.957,1.573,1.100,12.16,1.00,0.000,intact
58.0,1378.711,628.582,236.540,234.901,1.639,1.100,12.19,1.00,0.000,intact
59.0,1378.826,629.259,236.560,234.950,1.610,1.100,12.27,1.00,0.000,intact
60.0,1378.941,629.939,236.580,234.939,1.642,1.100,12.41,1.00,0.000,intact
61.0,1379.057,630.624,236.590,235.146,1.444,1.100,12.43,1.00,0.000,intact
62.0,1379.176,631.314,236.570,235.135,1.435,1.100,12.33,1.00,0.000,intact
63.0,1379.300,632.010,236.550,235.120,1.430,1.100,12.28,1.00,0.000,intact
64.0,1379.430,632.713,236.540,236.495,0.045,1.100,12.13,1.00,0.000,intact
65.0,1379.567,633.422,236.580,236.483,0.097,1.100,12.08,1.00,0.000,intact
66.0,1379.714,634.139,236.630,236.457,0.173,1.100,12.39,1.00,0.000,intact
67.0,1379.872,634.864,236.600,236.371,0.229,1.100,12.49,1.00,0.000,skylight
68.0,1380.042,635.598,236.398,236.296,0.102,1.100,12.38,0.94,0.000,skylight
69.0,1380.226,636.341,236.190,236.282,-0.092,1.100,12.32,0.93,0.000,skylight
70.0,1380.427,637.094,236.130,236.489,-0.359,1.100,12.35,0.93,0.000,skylight
71.0,1380.644,637.857,236.470,236.705,-0.235,1.100,12.06,0.97,0.000,skylight
