s,x,y,z_ceil_flight1,z_ceil_flight2,dz
0.0000,1374.0513,582.9380,166.3236,166.3048,0.0188
1.0000,1374.3647,583.8561,166.5979,166.7039,-0.1059
2.0000,1374.6606,584.7831,166.7197,166.9282,-0.2085
3.0000,1374.9375,585.7192,166.7073,166.9521,-0.2448
4.0000,1375.1933,586.6647,166.6619,166.8435,-0.1816
5.0000,1375.4263,587.6194,166.6280,166.8178,-0.1899
6.0000,1375.6342,588.5833,166.3441,166.8076,-0.4635
7.0000,1375.8148,589.5560,165.2826,165.9474,-0.6648
8.0000,1375.9658,590.5367,165.2119,165.5537,-0.3418
9.0000,1376.0851,591.5246,164.4750,164.7587,-0.2837
10.0000,1376.1707,592.5183,164.3573,164.5028,-0.1455
11.0000,1376.2212,593.5160,164.5274,164.5057,0.0218
12.0000,1376.2357,594.5157,164.6098,164.4416,0.1682
13.0000,1376.2146,595.5153,164.6712,164.4358,0.2353
14.0000,1376.1592,596.5125,164.6453,164.4369,0.2084
15.0000,1376.0725,597.5055,164.6609,164.3729,0.2880
16.0000,1375.9587,598.4933,165.2653,165.1880,0.0773
17.0000,1375.8233,599.4753,165.8140,165.8067,0.0073
18.0000,1375.6732,600.4521,166.6735,166.6965,-0.0230
19.0000,1375.5160,601.4250,167.0987,167.0573,0.0414
20.0000,1375.3598,602.3961,167.6403,167.6827,-0.0423
21.0000,1375.2131,603.3676,167.8884,167.8492,0.0392
22.0000,1375.0843,604.3415,168.0776,168.0381,0.0395
23.0000,1374.9813,605.3194,168.1931,168.2509,-0.0578
24.0000,1374.9110,606.3022,168.3967,168.3541,0.0426
25.0000,1374.8768,607.2893,168.5860,168.4707,0.1153
26.0000,1374.8755,608.2790,168.8185,168.5641,0.2544
27.0000,1374.9036,609.2701,169.2519,168.9735,0.2785
28.0000,1374.9581,610.2616,169.9711,170.0844,-0.1133
29.0000,1375.0363,611.2529,169.9681,170.0938,-0.1257
30.0000,1375.1358,612.2433,169.9741,170.1011,-0.1270
31.0000,1375.2545,613.2325,169.9751,170.1066,-0.1315
32.0000,1375.3903,614.2204,169.9366,170.0880,-0.1514
33.0000,1375.5416,615.2066,169.0640,169.3172,-0.2532
34.0000,1375.7068,616.1912,169.6728,169.8802,-0.2074
35.0000,1375.8845,617.1742,169.6360,169.8893,-0.2533
36.0000,1376.0733,618.1554,169.5836,169.8802,-0.2966
37.0000,1376.2721,619.1349,169.5685,169.8023,-0.2338
