s,x,y,z,tx,ty,tz
0.0,1374.3172,583.7131,229.5735,0.3076,0.9211,-0.2385
1.0,1374.7238,584.9900,229.2571,0.2824,0.9336,-0.2206
2.0,1375.0742,586.2131,228.9824,0.2555,0.9457,-0.2012
3.0,1375.3715,587.3849,228.7472,0.2269,0.9571,-0.1802
4.0,1375.6190,588.5084,228.5496,0.1967,0.9677,-0.1578
5.0,1375.8199,589.5862,228.3877,0.1653,0.9771,-0.1340
6.0,1375.9773,590.6212,228.2593,0.1328,0.9851,-0.1089
7.0,1376.0944,591.6159,228.1627,0.0996,0.9916,-0.0829
8.0,1376.1744,592.5733,228.0956,0.0663,0.9962,-0.0561
9.0,1376.2205,593.4961,228.0562,0.0333,0.9990,-0.0289
10.0,1376.2358,594.3870,228.0425,0.0012,1.0000,-0.0017
11.0,1376.2236,595.2487,228.0525,-0.0294,0.9993,0.0249
12.0,1376.1871,596.0840,228.0842,-0.0578,0.9970,0.0507
13.0,1376.1293,596.8958,228.1356,-0.0835,0.9937,0.0752
14.0,1376.0535,597.6866,228.2047,-0.1060,0.9895,0.0979
15.0,1375.9630,598.4593,228.2896,-0.1249,0.9851,0.1186
16.0,1375.8608,599.2167,228.3882,-0.1398,0.9807,0.1369
17.0,1375.7501,599.9614,228.4985,-0.1504,0.9768,0.1527
18.0,1375.6342,600.6963,228.6186,-0.1565,0.9737,0.1657
19.0,1375.5162,601.4240,228.7465,-0.1581,0.9717,0.1757
20.0,1375.3993,602.1474,228.8802,-0.1550,0.9709,0.1827
21.0,1375.2867,602.8692,229.0177,-0.1472,0.9713,0.1867
22.0,1375.1815,603.5921,229.1570,-0.1348,0.9730,0.1875
23.0,1375.0870,604.3189,229.2962,-0.1178,0.9756,0.1850
24.0,1375.0064,605.0524,229.4332,-0.0964,0.9790,0.1795
25.0,1374.9427,605.7953,229.5660,-0.0710,0.9827,0.1708
26.0,1374.8991,606.5501,229.6928,-0.0428,0.9862,0.1598
27.0,1374.8763,607.3176,229.8127,-0.0162,0.9887,0.1490
28.0,1374.8734,608.0966,229.9258,0.0085,0.9903,0.1385
29.0,1374.8894,608.8864,230.0322,0.0314,0.9912,0.1284
30.0,1374.9234,609.6858,230.1318,0.0526,0.9915,0.1187
31.0,1374.9744,610.4940,230.2246,0.0723,0.9914,0.1093
32.0,1375.0415,611.3100,230.3109,0.0905,0.9908,0.1002
33.0,1375.1237,612.1328,230.3905,0.1073,0.9900,0.0915
34.0,1375.2201,612.9615,230.4635,0.1228,0.9890,0.0830
35.0,1375.3298,613.7950,230.5300,0.1370,0.9877,0.0747
36.0,1375.4517,614.6325,230.5900,0.1502,0.9864,0.0667
37.0,1375.5849,615.4729,230.6435,0.1622,0.9850,0.0589
38.0,1375.7286,616.3153,230.6907,0.1732,0.9835,0.0512
39.0,1375.8816,617.1588,230.7314,0.1833,0.9821,0.0437
40.0,1376.0432,618.0024,230.7658,0.1924,0.9806,0.0364
41.0,1376.2122,618.8450,230.7940,0.2007,0.9792,0.0291
42.0,1376.3879,619.6858,230.8158,0.2081,0.9779,0.0219
43.0,1376.5692,620.5238,230.8315,0.2146,0.9766,0.0147
44.0,1376.7552,621.3580,230.8410,0.2204,0.9754,0.0075
45.0,1376.9449,622.1874,230.8444,0.2254,0.9743,0.0004
46.0,1377.1375,623.0113,230.8417,0.2299,0.9732,-0.0066
47.0,1377.3327,623.8294,230.8334,0.2343,0.9721,-0.0132
48.0,1377.5305,624.6420,230.8197,0.2386,0.9709,-0.0193
49.0,1377.7307,625.4490,230.8013,0.2429,0.9697,-0.0250
50.0,1377.9334,626.2507,230.7785,0.2470,0.9685,-0.0302
51.0,1378.1383,627.0471,230.7517,0.2511,0.9673,-0.0349
52.0,1378.3454,627.8382,230.7213,0.2551,0.9661,-0.0391
53.0,1378.5547,628.6243,230.6879,0.2590,0.9649,-0.0429
54.0,1378.7661,629.4055,230.6518,0.2629,0.9637,-0.0461
55.0,1378.9795,630.1818,230.6135,0.2666,0.9626,-0.0489
56.0,1379.1947,630.9533,230.5734,0.2703,0.9614,-0.0511
57.0,1379.4119,631.7201,230.5319,0.2738,0.9603,-0.0528
58.0,1379.6307,632.4824,230.4895,0.2773,0.9593,-0.0539
