s,x,y,z_dem,z_ceil,tau,sigma_tau,span,coverage,ghost_frac,class
0.0,1374.317,583.713,234.440,232.390,2.050,1.470,3.74,1.00,0.000,intact
1.0,1374.724,584.990,234.320,233.015,1.305,1.470,5.21,1.00,0.000,intact
2.0,1375.074,586.213,235.080,232.784,2.296,1.470,6.87,1.00,0.000,intact
3.0,1375.371,587.385,235.170,233.392,1.778,1.470,8.86,1.00,0.000,intact
4.0,1375.619,588.508,235.210,231.791,3.420,1.470,9.94,1.00,0.000,intact
5.0,1375.820,589.586,235.400,231.239,4.160,1.470,9.68,1.00,0.000,intact
6.0,1375.977,590.621,235.590,230.361,5.229,1.470,9.29,0.99,0.000,intact
7.0,1376.094,591.616,235.710,230.225,5.485,1.470,9.20,0.97,0.000,intact
8.0,1376.174,592.573,235.750,227.584,8.166,1.470,8.76,1.00,0.000,intact
9.0,1376.220,593.496,235.820,231.341,4.479,1.470,8.66,1.00,0.000,intact
10.0,1376.236,594.387,235.870,230.968,4.902,1.470,8.81,1.00,0.000,intact
11.0,1376.224,595.249,235.970,230.987,4.983,1.470,9.23,1.00,0.000,intact
12.0,1376.187,596.084,236.080,230.905,5.175,1.470,9.55,1.00,0.000,intact
13.0,1376.129,596.896,236.380,230.781,5.599,1.470,9.61,1.00,0.000,intact
14.0,1376.053,597.687,236.360,230.823,5.537,1.470,9.81,1.00,0.000,intact
15.0,1375.963,598.459,236.320,230.650,5.670,1.470,10.21,1.00,0.000,intact
16.0,1375.861,599.217,236.360,230.632,5.728,1.470,10.49,1.00,0.000,intact
17.0,1375.750,599.961,236.380,231.241,5.139,1.470,10.50,0.99,0.000,intact
18.0,1375.634,600.696,236.440,232.211,4.229,1.470,10.63,1.00,0.000,intact
19.0,1375.516,601.424,236.450,232.336,4.114,1.470,11.31,1.00,0.000,intact
20.0,1375.399,602.147,236.500,233.089,3.411,1.470,11.83,1.00,0.000,intact
21.0,1375.287,602.869,236.540,233.350,3.190,1.470,12.24,1.00,0.000,intact
22.0,1375.181,603.592,236.490,233.881,2.609,1.470,12.63,1.00,0.000,intact
23.0,1375.087,604.319,236.500,234.339,2.161,1.470,13.22,1.00,0.000,intact
24.0,1375.006,605.052,236.500,234.670,1.830,1.470,13.76,1.00,0.000,intact
25.0,1374.943,605.795,236.500,234.813,1.687,1.470,14.51,1.00,0.000,intact
26.0,1374.899,606.550,236.500,234.801,1.699,1.470,15.30,1.00,0.000,intact
27.0,1374.876,607.318,236.560,234.938,1.622,1.470,15.63,1.00,0.000,intact
28.0,1374.873,608.097,236.570,234.791,1.779,1.470,15.38,1.00,0.000,intact
29.0,1374.889,608.886,236.530,235.058,1.472,1.470,15.06,1.00,0.000,intact
30.0,1374.923,609.686,236.440,235.065,1.375,1.470,15.03,1.00,0.000,intact
31.0,1374.974,610.494,236.490,235.263,1.227,1.470,14.08,1.00,0.000,intact
32.0,1375.042,611.310,236.550,236.862,-0.311,1.470,12.87,1.00,0.000,skylight
33.0,1375.124,612.133,236.570,236.349,0.221,1.470,12.52,1.00,0.000,skylight
