s,x,y,dem_cache,dem_geotiff,dist_to_road_m,under_road_crest,flf_n,flf_roof_sampled,flf_ceil_pipeline,flf_ceil_p99,flf_boot_std,flf_floor_p1,flf_overburden_pipeline_cache,flf_overburden_pipeline_geotiff,tube_n,tube_roof_sampled,tube_ceil_pipeline,tube_ceil_p99,tube_boot_std,tube_floor_p1,tube_overburden_pipeline_cache,tube_overburden_pipeline_geotiff,slf_n,slf_roof_sampled,slf_ceil_pipeline,slf_ceil_p99,slf_boot_std,slf_floor_p1,slf_overburden_pipeline_cache,slf_overburden_pipeline_geotiff
280.0,1297.46,825.02,179.530,179.437,41.6,False,21632,True,165.703,165.392,0.009,156.625,13.827,13.734,13765,True,165.914,165.667,0.017,156.576,13.616,13.523,15263,True,165.496,165.215,0.013,156.564,14.034,13.941
282.5,1294.96,824.97,179.550,179.547,39.3,False,17203,True,166.047,165.831,0.013,156.658,13.503,13.500,12949,True,166.050,165.848,0.020,156.560,13.500,13.496,13994,True,164.862,165.393,0.010,156.557,14.688,14.685
285.0,1292.47,824.74,179.730,179.459,36.9,False,12646,True,166.270,166.192,0.009,156.375,13.460,13.188,10563,True,166.193,166.067,0.007,156.264,13.537,13.266,10948,True,164.857,165.496,0.030,156.275,14.873,14.602
287.5,1289.99,824.45,179.960,179.874,34.5,False,8917,True,166.540,166.590,0.009,156.442,13.420,13.334,8061,True,166.778,166.459,0.013,156.327,13.182,13.096,8291,True,166.860,165.775,0.141,156.323,13.100,13.014
290.0,1287.50,824.21,180.280,180.200,32.1,False,7198,True,167.264,167.168,0.005,156.563,13.016,12.936,6998,True,167.093,167.007,0.005,156.539,13.187,13.106,8293,True,167.427,167.076,0.018,156.520,12.853,12.773
292.5,1285.00,824.12,180.830,180.804,29.7,False,10782,True,167.324,167.240,0.007,156.931,13.506,13.480,10978,True,167.145,167.091,0.003,156.816,13.685,13.660,12560,True,167.589,167.268,0.022,156.776,13.241,13.215
295.0,1282.52,824.39,181.000,180.859,27.5,False,9239,True,167.515,167.356,0.007,157.413,13.485,13.344,8716,True,167.389,167.224,0.010,157.298,13.611,13.470,9929,True,167.892,167.340,0.017,157.298,13.108,12.968
297.5,1280.19,825.27,181.090,180.987,25.6,False,7685,True,167.520,167.406,0.010,158.288,13.570,13.467,7654,True,167.398,167.247,0.010,158.246,13.692,13.589,8558,True,167.692,167.377,0.020,158.232,13.398,13.294
300.0,1278.12,826.66,181.020,180.940,24.2,False,4282,True,167.528,167.287,0.012,159.202,13.492,13.413,4436,True,167.433,167.112,0.017,159.146,13.587,13.507,5158,True,167.708,167.319,0.050,159.162,13.312,13.232
302.5,1276.00,827.92,180.970,180.949,22.6,False,4319,True,166.924,167.258,0.022,160.254,14.046,14.025,4573,True,166.473,167.057,0.023,160.087,14.497,14.475,4982,True,167.421,167.178,0.014,160.071,13.549,13.527
305.0,1273.59,827.73,180.920,180.893,20.3,False,5313,True,167.528,167.263,0.018,159.292,13.392,13.365,5069,True,167.371,167.095,0.016,159.387,13.549,13.522,5546,True,167.641,167.190,0.023,159.519,13.279,13.252
307.5,1271.99,825.81,180.900,180.858,18.1,False,632,True,166.640,166.733,0.034,161.347,14.260,14.218,648,True,166.461,166.701,0.064,161.469,14.439,14.396,851,True,166.985,167.095,0.069,160.526,13.915,13.873
310.0,1269.91,824.92,180.850,180.807,15.9,False,125,True,166.912,167.103,0.052,162.056,13.938,13.894,170,True,166.762,166.767,0.013,161.533,14.088,14.045,277,True,167.010,167.156,0.040,159.911,13.840,13.797
312.5,1267.53,825.48,180.730,180.652,13.9,False,35,True,nan,167.255,0.013,160.938,nan,nan,60,True,nan,167.036,0.009,160.649,nan,nan,107,True,168.105,168.070,0.026,159.764,12.625,12.547
315.0,1265.16,826.07,180.590,180.579,11.9,False,125,True,167.833,167.926,0.023,160.134,12.757,12.746,204,True,167.710,167.677,0.024,159.858,12.880,12.869,241,True,168.301,167.899,0.192,159.808,12.289,12.278
317.5,1262.66,826.07,180.470,180.436,9.5,False,61,True,nan,167.815,0.041,160.686,nan,nan,60,True,nan,167.562,0.037,160.362,nan,nan,124,True,160.712,167.549,0.014,160.224,19.758,19.724
320.0,1260.16,826.12,180.560,180.443,7.2,False,94,False,161.707,161.842,0.070,160.809,18.853,18.735,148,False,161.564,161.587,0.059,160.524,18.996,18.878,183,False,161.629,161.622,1.803,160.475,18.931,18.814
322.5,1257.67,826.36,181.230,181.051,5.0,True,71,True,nan,169.024,0.116,160.867,nan,nan,129,True,168.407,168.821,0.063,160.652,12.823,12.644,150,True,168.695,169.133,0.081,160.721,12.535,12.356
325.0,1255.20,826.45,181.620,181.579,2.7,True,2838,True,169.010,168.812,0.037,161.828,12.610,12.569,4296,True,168.873,168.508,0.031,161.469,12.747,12.706,3903,True,169.129,168.581,0.029,161.389,12.491,12.450
327.5,1252.71,826.27,181.620,181.557,0.3,True,3290,True,167.854,168.125,0.010,163.289,13.766,13.703,4403,True,167.546,167.791,0.018,162.982,14.074,14.011,3937,True,167.905,167.743,0.020,162.981,13.715,13.652
