s,z_dem_percellmax,z_dem_geotiff,tau_percellmax,tau_geotiff,class
0.0,168.440,168.292,1.843,1.695,intact
1.0,168.440,168.437,2.087,2.084,intact
2.0,168.580,168.185,1.514,1.119,intact
3.0,168.760,168.434,1.862,1.536,intact
4.0,169.060,169.035,2.372,2.347,intact
5.0,169.160,169.165,1.818,1.823,intact
6.0,169.200,168.886,3.421,3.107,intact
7.0,169.390,169.284,4.146,4.040,intact
8.0,169.590,169.525,6.213,6.148,intact
9.0,169.700,169.656,5.464,5.420,intact
10.0,169.750,169.699,8.163,8.112,intact
11.0,169.810,169.756,4.469,4.415,intact
12.0,169.860,169.763,4.892,4.795,intact
13.0,169.970,169.857,5.091,4.978,intact
14.0,170.170,170.087,5.419,5.336,intact
15.0,170.380,170.348,5.579,5.547,intact
16.0,170.320,170.277,5.695,5.652,intact
17.0,170.360,170.329,5.430,5.399,intact
18.0,170.410,170.360,4.349,4.299,intact
19.0,170.450,170.424,4.114,4.088,intact
20.0,170.500,170.441,3.241,3.182,intact
21.0,170.490,170.461,2.655,2.626,intact
22.0,170.500,170.460,2.156,2.116,intact
23.0,170.500,170.468,1.777,1.745,intact
24.0,170.500,170.462,1.738,1.700,intact
25.0,170.560,170.492,1.626,1.558,intact
26.0,170.590,170.490,1.618,1.518,intact
27.0,170.460,170.410,1.353,1.303,intact
28.0,170.490,170.444,1.480,1.433,intact
29.0,170.520,170.508,0.233,0.221,skylight
30.0,170.120,170.008,-0.143,-0.255,skylight
31.0,nan,169.934,nan,1.087,skylight
32.0,nan,169.875,nan,0.062,skylight
33.0,nan,169.841,nan,0.913,skylight
34.0,nan,170.010,nan,4.704,skylight
35.0,170.360,170.134,0.745,0.519,skylight
36.0,170.560,170.577,0.594,0.611,skylight
37.0,170.600,170.541,0.777,0.718,intact
38.0,170.540,170.504,1.567,1.531,intact
39.0,170.580,170.575,1.476,1.471,intact
40.0,170.560,170.524,1.565,1.529,intact
41.0,170.560,170.535,1.304,1.279,intact
42.0,170.620,170.517,1.065,0.962,intact
43.0,170.550,170.464,1.014,0.928,intact
44.0,170.560,170.521,0.839,0.800,intact
45.0,170.570,170.546,0.856,0.832,intact
46.0,170.520,170.475,0.992,0.947,intact
47.0,170.550,170.483,1.359,1.292,intact
48.0,170.580,170.505,1.435,1.360,intact
49.0,170.570,170.548,1.240,1.218,intact
50.0,170.550,170.499,0.404,0.353,intact
51.0,170.540,170.459,0.042,-0.039,intact
52.0,170.540,170.535,0.088,0.083,intact
53.0,170.620,170.498,0.223,0.101,intact
54.0,170.460,170.192,0.116,-0.152,skylight
55.0,170.240,170.114,-1.022,-1.148,skylight
56.0,170.250,170.004,-0.983,-1.229,skylight
57.0,170.480,170.207,-0.714,-0.987,inconsistent
58.0,170.620,170.525,-0.532,-0.627,inconsistent
59.0,170.680,170.627,-0.478,-0.531,inconsistent
60.0,170.720,170.644,-0.033,-0.109,inconsistent
61.0,170.790,170.720,0.259,0.189,intact
62.0,170.820,170.804,1.255,1.239,intact
63.0,170.790,170.771,2.429,2.410,intact
64.0,170.860,170.859,2.328,2.327,intact
65.0,170.860,170.789,2.217,2.146,intact
66.0,170.880,170.752,2.183,2.055,intact
67.0,170.930,170.884,2.197,2.151,intact
